f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 18235 ,-0.30 ,0.16 ,-0.49 ,0.04 ,-0.40 ,0.11 ,,,,,,,,,,,,,,
HIP 108859 ,0.12 ,0.12 ,-0.12 ,0.06 ,-0.04 ,0.11 ,b ,3.525 ,None ,None ,0.685 ,0.015 ,-0.014 ,None ,None ,None ,0.04707 ,0.00046 ,-0.00047 ,
HIP 20800 ,0.40 ,0.16 ,0.46 ,0.04 ,0.54 ,0.44 ,,,,,,,,,,,,,,
HIP 22336 ,0.29 ,0.14 ,0.43 ,0.04 ,0.19 ,0.11 ,b ,1157.0 ,27.0 ,-27.0 ,1.22 ,0.14 ,-0.14 ,0.76 ,0.05 ,-0.05 ,2.34 ,0.06 ,-0.06 ,
HIP 35136 ,-0.12 ,0.12 ,-0.15 ,0.18 ,0.14 ,0.26 ,,,,,,,,,,,,,,
HIP 84801 ,-0.15 ,0.01 ,-0.04 ,0.04 ,0.03 ,0.11 ,,,,,,,,,,,,,,
HIP 46404 ,-0.06 ,0.10 ,0.05 ,0.04 ,0.12 ,0.24 ,,,,,,,,,,,,,,
HIP 3909 ,-0.08 ,0.06 ,0.27 ,0.04 ,0.66 ,0.11 ,,,,,,,,,,,,,,
HIP 14150 ,0.18 ,0.12 ,0.27 ,0.04 ,0.40 ,0.29 ,,,,,,,,,,,,,,
HIP 109378 ,0.31 ,0.20 ,0.35 ,0.04 ,0.57 ,0.06 ,b ,442.19 ,0.5 ,-0.5 ,1.29 ,0.11 ,-0.11 ,0.476 ,0.017 ,-0.017 ,1.138 ,0.066 ,-0.066 ,
HIP 21832 ,-0.22 ,0.10 ,-0.40 ,0.04 ,0.12 ,0.11 ,,,,,,,,,,,,,,
HIP 53070 ,-1.07 ,0.90 ,-0.26 ,0.64 ,-0.90 ,0.34 ,,,,,,,,,,,,,,
HIP 93007 ,0.24 ,0.08 ,0.21 ,0.04 ,0.13 ,0.11 ,,,,,,,,,,,,,,
HIP 30545 ,0.00 ,0.08 ,0.19 ,0.04 ,-0.07 ,0.11 ,,,,,,,,,,,,,,
HIP 16214 ,-0.32 ,0.77 ,0.23 ,0.04 ,-1.25 ,0.11 ,,,,,,,,,,,,,,
HIP 67927 ,0.48 ,0.28 ,0.64 ,0.04 ,0.40 ,0.11 ,,,,,,,,,,,,,,
HIP 77655 ,0.20 ,0.14 ,0.17 ,0.04 ,0.18 ,0.11 ,b ,1253.68 ,3.07 ,-6.48 ,1.522 ,0.033 ,-0.065 ,0.04 ,0.013 ,-0.032 ,2.5 ,0.004 ,-0.009 ,
HIP 7513 ,0.19 ,0.16 ,0.43 ,0.04 ,0.20 ,0.11 ,b c d ,4.617122 240.9402 1278.1 ,1.2e-05 0.047 2.9 ,-1.2e-05 -0.047 -2.9 ,0.675 13.98 4.13 ,0.016 2.3 0.35 ,-0.016 -5.3 -0.35 ,0.0069 0.245 0.267 ,0.0072 0.006 0.021 ,-0.0046 -0.006 -0.021 ,0.05914 0.829 2.53 ,0.00061 0.043 0.15 ,-0.00063 -0.043 -0.15 ,
HIP 39780 ,0.19 ,0.08 ,0.41 ,0.04 ,0.89 ,0.11 ,,,,,,,,,,,,,,
HIP 96100 ,-0.10 ,0.16 ,-0.03 ,0.04 ,-0.03 ,0.14 ,,,,,,,,,,,,,,
HIP 59750 ,-0.34 ,0.19 ,-0.35 ,0.04 ,-0.46 ,0.12 ,,,,,,,,,,,,,,
HIP 68464 ,-1.56 ,1.04 ,-0.74 ,0.80 ,-1.50 ,0.11 ,,,,,,,,,,,,,,
HIP 30067 ,-0.15 ,0.06 ,-0.19 ,0.04 ,-0.05 ,0.11 ,,,,,,,,,,,,,,
HIP 72567 ,0.00 ,0.10 ,-0.26 ,0.04 ,0.71 ,0.70 ,,,,,,,,,,,,,,
HIP 94075 ,0.22 ,0.13 ,0.13 ,0.04 ,0.80 ,0.11 ,b ,71.511 ,0.011 ,-0.011 ,7.35 ,0.6 ,-0.6 ,0.139 ,0.014 ,-0.014 ,0.345 ,0.02 ,-0.02 ,
HIP 94076 ,0.32 ,0.28 ,-0.04 ,0.04 ,0.58 ,0.31 ,,,,,,,,,,,,,,
HIP 84862 ,0.01 ,0.20 ,0.02 ,0.09 ,0.12 ,0.33 ,,,,,,,,,,,,,,
HIP 3455 ,0.22 ,0.04 ,0.16 ,0.04 ,0.30 ,0.11 ,,,,,,,,,,,,,,
HIP 38784 ,0.01 ,0.10 ,-0.06 ,0.04 ,0.13 ,0.30 ,,,,,,,,,,,,,,
HIP 99711 ,0.04 ,0.20 ,-0.17 ,0.04 ,0.08 ,0.09 ,b ,24.3556 ,0.0046 ,-0.0046 ,0.56 ,0.05 ,-0.05 ,0.05 ,0.04 ,-0.04 ,0.15 ,-0.0 ,0.0 ,
HIP 89474 ,0.04 ,0.10 ,-0.04 ,0.21 ,0.78 ,0.70 ,b ,15.1479 ,0.0035 ,-0.0037 ,0.03 ,0.0038 ,-0.0037 ,0.12 ,0.11 ,-0.082 ,0.1192 ,0.0017 ,-0.0018 ,
HIP 61317 ,-0.08 ,0.16 ,0.07 ,0.04 ,0.44 ,0.66 ,,,,,,,,,,,,,,
HIP 92549 ,0.32 ,0.08 ,0.09 ,0.04 ,0.54 ,0.11 ,,,,,,,,,,,,,,
HIP 116613 ,0.13 ,0.10 ,0.01 ,0.04 ,0.75 ,0.64 ,,,,,,,,,,,,,,
HIP 19849 ,-0.02 ,0.38 ,-0.50 ,0.04 ,0.03 ,0.11 ,,,,,,,,,,,,,,
HIP 64394 ,0.09 ,0.13 ,0.09 ,0.24 ,0.10 ,0.08 ,,,,,,,,,,,,,,
HIP 92043 ,-0.09 ,0.12 ,0.40 ,0.04 ,0.21 ,0.11 ,,,,,,,,,,,,,,
HIP 35209 ,0.13 ,0.12 ,0.08 ,0.04 ,0.88 ,0.11 ,,,,,,,,,,,,,,
HIP 88972 ,0.08 ,0.11 ,0.10 ,0.04 ,-0.16 ,0.08 ,,,,,,,,,,,,,,
HIP 116106 ,-0.12 ,0.08 ,0.00 ,0.04 ,0.54 ,0.11 ,,,,,,,,,,,,,,
HIP 112527 ,-0.02 ,0.08 ,-0.34 ,0.04 ,-0.10 ,0.01 ,b c ,35.45 154.43 ,0.011 0.44 ,-0.011 -0.44 ,0.03228 0.0297 ,0.00311 0.00513 ,-0.00311 -0.00513 ,0.09 0.12 ,0.06 0.08 ,-0.06 -0.08 ,0.198 0.528 ,0.0004 0.01 ,-0.0004 -0.01 ,
HIP 79248 ,0.48 ,0.20 ,0.40 ,0.40 ,0.74 ,0.26 ,b c ,1724.0 15730.0 ,50.0 2650.0 ,-50.0 -1900.0 ,4.89 5.025 ,None 0.873 ,None -1.067 ,0.37 0.393 ,0.04 0.045 ,-0.04 -0.048 ,2.82 11.92 ,None 1.3 ,None -1.15 ,
HIP 59280 ,0.14 ,0.16 ,0.09 ,0.02 ,0.34 ,0.23 ,,,,,,,,,,,,,,
